cid,country,continent,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num
23,Albania,Europe,2007,76.423,3600523,5937.029525999998,ALB,8
83,Austria,Europe,2007,79.829,8199783,36126.4927,AUT,40
119,Belgium,Europe,2007,79.441,10392226,33692.60508,BEL,56
155,Bosnia and Herzegovina,Europe,2007,74.852,4552198,7446.298803,BIH,70
191,Bulgaria,Europe,2007,73.005,7322858,10680.79282,BGR,100
383,Croatia,Europe,2007,75.748,4493312,14619.222719999998,HRV,191
407,Czech Republic,Europe,2007,76.486,10228744,22833.30851,CZE,203
419,Denmark,Europe,2007,78.332,5468120,35278.41874,DNK,208
527,Finland,Europe,2007,79.313,5238460,33207.0844,FIN,246
539,France,Europe,2007,80.657,61083916,30470.0167,FRA,250
575,Germany,Europe,2007,79.406,82400996,32170.37442,DEU,276
599,Greece,Europe,2007,79.483,10706290,27538.41188,GRC,300
683,Hungary,Europe,2007,73.33800000000002,9956108,18008.94444,HUN,348
695,Iceland,Europe,2007,81.757,301931,36180.78919,ISL,352
755,Ireland,Europe,2007,78.885,4109086,40675.99635,IRL,372
779,Italy,Europe,2007,80.546,58147733,28569.7197,ITA,380
1019,Montenegro,Europe,2007,74.543,684736,9253.896111,MNE,499
1091,Netherlands,Europe,2007,79.762,16570613,36797.93332,NLD,528
1151,Norway,Europe,2007,80.196,4627926,49357.19017,NOR,578
1235,Poland,Europe,2007,75.563,38518241,15389.924680000002,POL,616
1247,Portugal,Europe,2007,78.098,10642836,20509.64777,PRT,620
1283,Romania,Europe,2007,72.476,22276056,10808.47561,ROU,642
1343,Serbia,Europe,2007,74.002,10150265,9786.534714,SRB,688
1379,Slovak Republic,Europe,2007,74.663,5447502,18678.31435,SVK,703
1391,Slovenia,Europe,2007,77.926,2009245,25768.25759,SVN,705
1427,Spain,Europe,2007,80.941,40448191,28821.0637,ESP,724
1475,Sweden,Europe,2007,80.884,9031088,33859.74835,SWE,752
1487,Switzerland,Europe,2007,81.70100000000002,7554661,37506.41907,CHE,756
1583,Turkey,Europe,2007,71.777,71158647,8458.276384,TUR,792
1607,United Kingdom,Europe,2007,79.425,60776238,33203.26128,GBR,826
